other_description,action
PULLED BY CLOTHING,Other description
PULLED BY HIS SHIRT,Other description
PULLED BY WAIST OF PANTS,Other description
PULLED CHAIR FROM ARRESTEE,Other description
PULLED DOWN TO GROUND,Other description
PULLED DOWN TO THE GROUND,Other description
PULLED DRIVER FROM VEHICLE,Other description
PULLED EVIDENCE AWAY ,Other description
PULLED FROM A SEATED POSITION ,Other description
PULLED FROM CAR ONTO GROUND,Other description
PULLED FROM FENCE,Other description
PULLED FROM INSIDE OF WALL,Other description
PULLED FROM UNDER CAR,Other description
PULLED FROM UNDER VEHICLE,Other description
PULLED FROM UNDER VEHICLE ,Other description
PULLED FROM UNDERNEATH PORCH,Other description
PULLED FROM VEHICLE,Other description
PULLED HAIR,Other description
PULLED HAIR TO GAIN CONTROL,Other description
PULLED HAND AWAY,Other description
PULLED HANDS APART,Other description
PULLED HANDS BEHIND BACK,Other description
PULLED HANDS OFF VICTIM'S LEG,Other description
"PULLED HANDS, ATTEMPTED TO CUF",Other description
PULLED HAT OVER MOUTH  ,Other description
PULLED HER AWAY,Other description
PULLED HER INTO POLICE VEHICLE,Other description
PULLED HIM INTO SEAT,Other description
PULLED HIM WITH HANDS,Other description
PULLED HOODY OVER FACE,Other description
PULLED IN THE VEHICLE,Other description
PULLED INTO SQUAD CAR,Other description
PULLED INTO TRANSP VEH,Other description
PULLED INTO TRANSP VEHICLE,Other description
PULLED JACKET OVER FACE,Other description
PULLED LEGS,Other description
PULLED OFF OF PO,Other description
PULLED OFF SUBJECTS HAND,Other description
PULLED OFF. AWAY FROM PARTNER,Other description
PULLED OFF. AWAY FROM VICTIMS,Other description
PULLED OFF. BACKWARDS,Other description
PULLED OFF. FROM 2ND PARTY,Other description
PULLED OFF. INTO CELL,Other description
PULLED OFF'S ARM,Other description
PULLED OFF'S HANDS TOGETHER,Other description
PULLED OFFENDER AWAY FR FENCE,Other description
PULLED OFFENDER BY ARM ,Other description
PULLED OFFENDER BY HAIR,Other description
PULLED OFFENDER BY PANTS,Other description
PULLED OFFENDER FORM VEHICLE,Other description
PULLED OFFENDER FROM BIKE,Other description
PULLED OFFENDER FROM CAGE CAR,Other description
PULLED OFFENDER FROM VEHICLE,Other description
PULLED OFFENDER FROM VEHICLE ,Other description
PULLED OFFENDER FROM VICTIM,Other description
PULLED OFFENDER INTO BACKSEAT,Other description
PULLED OFFENDER INTO CAR,Other description
PULLED OFFENDER INTO SQUAD,Other description
PULLED OFFENDER INTO SQUAD ,Other description
PULLED OFFENDER INTO SQUAD CAR,Other description
PULLED OFFENDER INTO VEHICLE,Other description
PULLED OFFENDER INTO WAGON,Other description
PULLED OFFENDER OFF BY FORCE.,Other description
PULLED OFFENDER OFF OF FENCE,Other description
PULLED OFFENDER OFF OF P.O.,Other description
PULLED OFFENDER OFF OF VICTIM,Other description
PULLED OFFENDER OFF OFFICER,Other description
PULLED OFFENDER OFF OTHERS,Other description
PULLED OFFENDER OFF VICTIM,Other description
PULLED OFFENDER OUT OF CAR,Other description
PULLED OFFENDER OUT OF VEHICAL,Other description
PULLED OFFENDER OUT OF VEHICLE,Other description
PULLED OFFENDER'S ARMS BACK,Other description
PULLED OFFENDER'S BRAIDS,Other description
PULLED OFFENDER'S UPPER BODY,Other description
PULLED OFFENDERS LEGS,Other description
PULLED ON EAR,Other description
PULLED ON SUBJECTS ARMS,Other description
PULLED OPEN DOOR,Other description
PULLED OPEN DOOR TO ENTER,Other description
PULLED OUT OF CAR,Other description
PULLED OUT OF PARKED CAR,Other description
PULLED OUT OF THE VEHICLE,Other description
PULLED OUT OF THE VEHICLE ,Other description
PULLED OUT OF VEHICLE,Other description
PULLED PONY TAIL,Other description
PULLED RESIDENCE DOOR OPEN,Other description
PULLED RESISTER INTO VEHICLE,Other description
PULLED RESISTOR INTO VEHICLE,Other description
PULLED SHIRT OVER HEAD,Other description
PULLED SHOULDERS AND HAIR ,Other description
PULLED SUB. INTO VEH.,Other description
PULLED SUB. TO GROUND BY SHIRT,Other description
PULLED SUBJ BY ARMS/SHOULDERS,Other description
PULLED SUBJ FROM INSIDE VECH.,Other description
PULLED SUBJ FROM VEHICLE,Other description
PULLED SUBJ OFF FENCE,Other description
PULLED SUBJ TO REGAIN CONTROL,Other description
PULLED SUBJECT,Other description
PULLED SUBJECT ARM,Other description
PULLED SUBJECT AWAY,Other description
PULLED SUBJECT AWAY ,Other description
PULLED SUBJECT AWAY FROM CROWD,Other description
PULLED SUBJECT BY HEAD,Other description
PULLED SUBJECT BY SHOULDERS,Other description
PULLED SUBJECT BY THE LEG,Other description
PULLED SUBJECT DOWN TO GROUND,Other description
PULLED SUBJECT FOREHEAD BACK,Other description
PULLED SUBJECT FROM THRESHOLD,Other description
PULLED SUBJECT FROM VEHICLE ,Other description
PULLED SUBJECT IN TIGHT,Other description
PULLED SUBJECT INTO CAR,Other description
PULLED SUBJECT INTO PATROL CAR,Other description
PULLED SUBJECT INTO VEHICLE,Other description
PULLED SUBJECT OUT FROM SQUAD ,Other description
PULLED SUBJECT OUT OF VEH. TO ,Other description
PULLED SUBJECT OUT OF VEHICLE,Other description
PULLED SUBJECT OUT OF VEHICLE ,Other description
PULLED SUBJECT OUT OF VEHICLE.,Other description
PULLED SUBJECT THROUGH WINDOW,Other description
PULLED SUBJECT TO HIS FEET ,Other description
PULLED SUBJECT TO SIDE,Other description
PULLED SUBJECT WAIST,Other description
PULLED SUBJECT'S ARMS,Other description
PULLED SUBJECT'S HAIR,Other description
PULLED SUBJECT'S HEAD AWAY,Other description
PULLED SUBJECTS ARM TO ARREST,Other description
PULLED SUBJECTS ARMS ,Other description
PULLED SUBJECTS ARMS BACK,Other description
PULLED SUBJECTS HEAD UPWARD,Other description
PULLED SWEATSHIRT OVER HEAD,Other description
PULLED SWTSHIRT OVER HER HEAD,Other description
PULLED THE OFFENDER INTO CAR,Other description
PULLED THROUGH CAR WINDOW,Other description
PULLED TO GROUND,Take down
PULLED TO SECURE IN VEHICLE,Other description
PULLED TO THE GROUND,Take down
PULLED TORSO INTO VEHICLE,Other description
PULLED UP,Other description
PULLED VEHICLE AWAY,Other description
PULLED VICTIM AWAY,Other description
PULLED WEAPON,Other description
PULLED WEAPON/PIPE AWAY,Other description
PULLEDED TO CONTROL SUBJECT,Other description
PULLING OF FEET,Other description
PULLING OFFENDER OFF VICTIM,Other description
PULLING SUBJECT AWAY,Other description
PULLING SUBJECT IN VEHICLE,Other description
PULLING SUBJECT OFF,Other description
PULLING SUBJECT OUT OF CLOSET,Other description
PULLING SUBJECT OUT OF VEHICLE,Other description
PURSED ON FOOT,Other description
PURSED SUBJECT TO ARREST,Other description
PURSIUT,Other description
PURSUE,Other description
PURSUE ON FOOT,Other description
PURSUE SUBJECT,Other description
PURSUED,Other description
PURSUED ,Other description
PURSUED  OFFENDER,Other description
PURSUED AND HELD OFFENDER,Other description
PURSUED ASSAILANT,Other description
PURSUED FLEEING SUBJECT,Other description
PURSUED IN VEHICLE,Other description
PURSUED IN VEHICLE AND ON FOOT,Other description
PURSUED IN VEHICLE AS HE FLED ,Other description
PURSUED OFFENDER,Other description
PURSUED OFFENDER ,Other description
PURSUED OFFENDER ON FOOT,Other description
PURSUED ON FOOT,Other description
PURSUED PLACED IN CUSTODYO,Other description
PURSUED SUBJECT,Other description
PURSUED SUBJECT IN VEHICLE,Other description
PURSUED SUBJECT ON FOOT,Other description
PURSUED SUBJECT TO ARREST,Other description
PURSUED THE OFFENDER,Other description
PURSUED WITH VEHICLE,Other description
PURSUIED ON FOOT,Other description
PURSUIT,Other description
PURSUIT ,Other description
PURSUIT OF OFFENDER,Other description
PURSUIT OF OFFENDER IN VEHICLE,Other description
PURSUIT OF VEHICLE,Other description
PURSUIT ON FOOT,Other description
"PURSUIT, GRABBED TO CONTROL",Other description
PURUSED ON FOOT,Other description
PUSH,Other description
PUSH (SEE ADDITIONAL INFO),Other description
PUSH AGAINST WALL,Other description
PUSH AND STRIKE TO CHEST,Other description
PUSH ASSAILANT AWAY,Other description
PUSH AWAY,Other description
PUSH AWAY TO AVOID BATTERY ,Other description
PUSH BACK,Other description
PUSH BACK TO SEAT TO GAIN DIST,Other description
PUSH FACE AWAY AND COVER MOUTH,Other description
PUSH HIM OFF AND EXERT CONTROL,Other description
PUSH IN CELL,Other description
PUSH OFFENDER AND DREW WEAPON,Other description
PUSH OFFENDER BACK,Other description
PUSH OFFENDER IN CAR,Other description
PUSH RESISTER'S LEGS,Other description
PUSH RESTRAIN,Other description
PUSH SUBJ AWAY FROM CELL DOOR,Other description
PUSH SUBJECT AWAY ,Other description
PUSH SUBJECT OFF BUS FOOT ,Other description
PUSH TO CAR TO CONTROL THREAT,Other description
PUSH TO CHEST,Other description
PUSH TO CREATE DISTANCE,Other description
PUSH TO CREATE DISTANCE ,Other description
PUSH WITH BOTH HANDS,Other description
PUSH WITH FOOT,Other description
PUSH WITH HAND,Other description
PUSH WITH HANDS,Other description
PUSH WITH THE HAND,Other description
PUSH WITH TWO HANDS,Other description
"PUSH, SHOVE OFFENDER",Other description
PUSH/PULL,Other description
PUSH/PULL/GRAB,Other description
PUSH/SHOVE,Other description
PUSHDED OFFENDER BACK,Other description
PUSHED,Other description
PUSHED ,Other description
PUSHED  DOOR AT SUBJECT,Other description
PUSHED  SUBJECT INTO VEHICLE,Other description
PUSHED /CREATE SEPERATION,Other description
PUSHED & SEPERATED ,Other description
PUSHED ABOUT THE BODY,Other description
PUSHED AGAINST PARKED VEHICLE,Other description
PUSHED AGAINST SQUAD CAR,Other description
PUSHED AGAINST THE WALL,Other description
PUSHED AGAINST VEHICLE,Other description
PUSHED AGAINST WALL,Other description
PUSHED AGAINST WALL ,Other description
PUSHED AGAINST WALL TO HANDCUF,Other description
PUSHED AND CONTROLLED,Other description
PUSHED AND PULLED,Other description
PUSHED AND PULLED ,Other description
PUSHED AND PULLED OFFENDER,Other description
PUSHED AND SEPARATED CROWD,Other description
PUSHED AND SEPERATED ,Other description
PUSHED AND SHOVED,Other description
PUSHED AND TACKLED,Other description
PUSHED ARRESTEE OFF HIS PERSON,Other description
PUSHED ARRESTTEE AGAINST  W,Other description
PUSHED ASIDE,Other description
PUSHED ASSAILANT,Other description
PUSHED ASSAILANT AWAY,Other description
PUSHED ASSAILANT AWAY ,Other description
PUSHED ASSAILANT AWAY.,Other description
PUSHED ASSAILANT IN THE CHEST ,Other description
PUSHED ASSAILANT INSIDE CAR,Other description
PUSHED ASSAILANT INTO SQUAD CA,Other description
PUSHED ASSAILANT OFF R/O,Other description
PUSHED ASSAILANT OUT OF WAY,Other description
PUSHED ASSAILANT TO WALL,Other description
PUSHED ASSAILANT W/ BOTH HANDS,Other description
PUSHED ASSAILANT WITH HANDS,Other description
PUSHED ATTCKER INTO SIDE DOOR,Other description
PUSHED AWAY,Other description
PUSHED AWAY ,Other description
PUSHED AWAY FOR DISTANCE,Other description
PUSHED AWAY FOR SAFETY,Other description
PUSHED AWAY FROM CONTACT,Other description
PUSHED AWAY FROM OFFICER,Other description
PUSHED AWAY FROM RO,Other description
PUSHED AWAY FROM SUBJECT,Other description
PUSHED AWAY SEVERAL TIMES,Other description
PUSHED AWAY W/ ONE HAND,Other description
"PUSHED AWAY, THEN HELD ARMS",Other description
PUSHED BACK,Other description
PUSHED BACK DOWN TO GROUND,Other description
PUSHED BACK INTO AUTO,Other description
PUSHED BACK INTO THE SQUAD CAR,Other description
PUSHED BACK INTO TRANSPORT VEH,Other description
PUSHED BACK TO CREATE DISTANCE,Other description
PUSHED BACKED INTO WALL,Other description
PUSHED BODY ,Other description
PUSHED CHEST AWAY,Other description
PUSHED DOOR ,Other description
PUSHED DOOR BACK AT SUBJECT,Other description
PUSHED DOOR OFF / ARREST MADE,Other description
PUSHED DOOR OPEN,Other description
PUSHED DOWN INTO WHEELCHAIR,Other description
PUSHED DOWN TO BENCH,Other description
PUSHED FACE AWAY,Other description
PUSHED FACE AWAY AND CARRIED ,Other description
PUSHED FACE AWAY FROM OFC'S,Other description
PUSHED FACE AWAY FROM OFFICER,Other description
PUSHED FACE AWAY PREVENT SPIT,Other description
PUSHED FACE WITH FOREARM,Other description
PUSHED FEET INSIDE POLICE CAR,Other description
PUSHED FROM VEHICLE,Other description
PUSHED HEAD AWAY,Other description
PUSHED HEAD AWAY FROM ARM,Other description
PUSHED HEAD AWAY FROM PO,Other description
PUSHED HEAD DOWN,Other description
PUSHED HEAD DOWN ,Other description
PUSHED HEAD DOWN ON CAR HOOD,Other description
PUSHED HEAD DOWN TO GET IN CAR,Other description
PUSHED HELD DOWN HEAD,Other description
PUSHED HELD HEAD DOWN ,Other description
PUSHED HER AWAY,Other description
PUSHED HER INTO HOLDING CELL,Other description
PUSHED HIM AGAINST POLICE CAR,Other description
PUSHED HIM AWAY,Other description
PUSHED HIM BACK,Other description
PUSHED HIM DOWN AGAINST GROUND,Other description
PUSHED HIM INTO CELL,Other description
PUSHED HIM ON ARM,Other description
PUSHED HIS HEAD AWAY FROM P.O,Other description
PUSHED INSIDE MARK SQUAD,Other description
PUSHED INTO CAR,Other description
PUSHED INTO CELL,Other description
PUSHED INTO CPD VEHICLE,Other description
PUSHED INTO FENCE TO CONTROL,Other description
PUSHED INTO HOLDING CELL,Other description
PUSHED INTO PARKED VEHICLE,Other description
PUSHED INTO REAR OF SQUAD CAR,Other description
PUSHED INTO SQUAD,Other description
PUSHED INTO SQUAD CAR,Other description
PUSHED INTO SQUAD ROLL,Other description
PUSHED INTO VEHICLE,Other description
PUSHED INTO WALL,Other description
PUSHED INTO WALL ,Other description
PUSHED INTO WALL & TKN DWN,Other description
PUSHED INTO WALL.,Other description
PUSHED LEG AWAY,Other description
PUSHED LEG INSIDE SQUAD CAR,Other description
PUSHED LEGS INTO SQUAD CAR,Other description
PUSHED LEGS TO CLOSE VEH. DOOR,Other description
PUSHED OFF,Other description
PUSHED OFF BACK,Other description
PUSHED OFF DOWN ,Other description
PUSHED OFF INTO SQUAD CAR,Other description
PUSHED OFF WITH FOREARM,Other description
PUSHED OFF.  OFF W/HANDS.,Other description
PUSHED OFF. AGAINST CAR,Other description
PUSHED OFF. OUT OF THE WAY,Other description
PUSHED OFF.S FACE AWAY,Other description
PUSHED OFFEN AWAY ONCE STRUCK,Other description
PUSHED OFFENDER,Other description
PUSHED OFFENDER ,Other description
PUSHED OFFENDER AFTER HEADBUTT,Other description
PUSHED OFFENDER AGAINST GATE,Other description
PUSHED OFFENDER AGAINST SQUAD,Other description
PUSHED OFFENDER AGAINST WALL,Other description
PUSHED OFFENDER ASIDE,Other description
PUSHED OFFENDER AWAY,Other description
PUSHED OFFENDER AWAY ,Other description
PUSHED OFFENDER AWAY FOR DIST.,Other description
PUSHED OFFENDER AWAY FROM P.O.,Other description
PUSHED OFFENDER AWAY FROM R/O,Other description
PUSHED OFFENDER BACK,Other description
PUSHED OFFENDER BACK ,Other description
PUSHED OFFENDER BACK W/OPEN HA,Other description
PUSHED OFFENDER BY THE CHIN/N ,Other description
PUSHED OFFENDER DOWN,Other description
PUSHED OFFENDER FOR DISTANCE.,Other description
PUSHED OFFENDER FOWARD,Other description
PUSHED OFFENDER INTO A WALL,Other description
PUSHED OFFENDER INTO CAR,Other description
PUSHED OFFENDER INTO CELL,Other description
PUSHED OFFENDER INTO SQUAD,Other description
PUSHED OFFENDER INTO SQUAD CAR,Other description
PUSHED OFFENDER INTO VEHICLE,Other description
PUSHED OFFENDER OFF,Other description
PUSHED OFFENDER ONTO SQUAD CAR,Other description
PUSHED OFFENDER ONTO STAIRS,Other description
PUSHED OFFENDER TO GROUND,Other description
PUSHED OFFENDER TO THE GROUND,Other description
PUSHED OFFENDER TO WALL,Other description
PUSHED OFFENDER TOWARDS FENCE,Other description
"PUSHED OFFENDER, SEE BELOW",Other description
PUSHED OFFENDER'S FACE AWAY ,Other description
PUSHED OFFENDER'S HAND AWAY,Other description
PUSHED OFFENDER'S HAND AWAY ,Other description
PUSHED OFFENDERS AWAY,Other description
PUSHED OFFENDERS FACE AWAY,Other description
PUSHED ONTO THE SQUAD CAR.,Other description
PUSHED ONTO VEHICLE,Other description
PUSHED OPEN DOOR,Other description
PUSHED PASS OFFENDER,Other description
PUSHED PAST OFFENDER,Other description
PUSHED RESISTER BACK,Other description
PUSHED RESISTER INTO VEHICLE,Other description
PUSHED RESISTER TO THE SIDE.,Other description
PUSHED SAID SUBJECT BACK,Other description
PUSHED SBJ AWAY REPEATEDLY,Other description
PUSHED SHOULDER & SPUN,Other description
PUSHED SUBJ'S SHOULDERS,Other description
PUSHED SUBJECT,Other description
PUSHED SUBJECT ,Other description
PUSHED SUBJECT AGAINST HER VEH,Other description
PUSHED SUBJECT AGAINST HIS CAR,Other description
PUSHED SUBJECT AGAINST VEHICLE,Other description
PUSHED SUBJECT AGAINST WALL,Other description
PUSHED SUBJECT ASIDE,Other description
PUSHED SUBJECT AWAY,Other description
PUSHED SUBJECT AWAY ,Other description
PUSHED SUBJECT AWAY FROM PO,Other description
PUSHED SUBJECT AWAY FROM R/O,Other description
PUSHED SUBJECT AWAY TWICE,Other description
PUSHED SUBJECT AWAY WITH OPEN ,Other description
PUSHED SUBJECT BACK,Other description
PUSHED SUBJECT BACK INTO CAR,Other description
PUSHED SUBJECT BACK INTO CELL ,Other description
PUSHED SUBJECT BACK W/OPEN HAN,Other description
PUSHED SUBJECT DOWN,Other description
PUSHED SUBJECT FROM VICTIM,Other description
PUSHED SUBJECT HANDS AWAY,Other description
PUSHED SUBJECT IN CHEST,Other description
PUSHED SUBJECT IN FACE,Other description
PUSHED SUBJECT INTO A CORNER,Other description
PUSHED SUBJECT INTO BATHROOM,Other description
PUSHED SUBJECT INTO CAR.,Other description
PUSHED SUBJECT INTO CELL ,Other description
PUSHED SUBJECT INTO FENCE,Other description
PUSHED SUBJECT INTO GATE,Other description
PUSHED SUBJECT INTO REAR SEAT,Other description
PUSHED SUBJECT INTO SQUAD CAR,Other description
PUSHED SUBJECT INTO SQUAD CAR ,Other description
PUSHED SUBJECT INTO THE SQUAD ,Other description
PUSHED SUBJECT INTO VEH,Other description
PUSHED SUBJECT INTO VEHICLE,Other description
PUSHED SUBJECT ONTO BENCH,Other description
PUSHED SUBJECT ONTO SQUAD CAR,Other description
PUSHED SUBJECT OUT OF THE WAY,Other description
PUSHED SUBJECT OUT THE WAY ,Other description
PUSHED SUBJECT TO CREATE SPACE,Other description
PUSHED SUBJECT TOWARDS WALL ,Other description
PUSHED SUBJECT UP AGAINST WALL,Other description
PUSHED SUBJECT WITH 2 HANDS,Other description
PUSHED SUBJECT WITH HANDS,Other description
PUSHED SUBJECT'S CHEST DOWN,Other description
PUSHED SUBJECT'S FACE TO SIDE.,Other description
PUSHED SUBJECTS BODY AWAY,Other description
PUSHED SUBJECTS HAND AWAY.,Other description
PUSHED SUBJECTS HEAD AWAY,Other description
PUSHED THE OFFENDER AWAY,Other description
PUSHED TO AVOID ATTACK,Other description
PUSHED TO BED & RESTRAINED,Other description
PUSHED TO CHEST WITH HAND,Other description
PUSHED TO CREATE DISTANCE,Other description
PUSHED TO GAIN CONTROL,Other description
PUSHED TO GROUND W/HAND,Other description
PUSHED TO THE GROUND,Other description
PUSHED UP AGAINST WALL ,Other description
PUSHED UPPER CHEST OF ARRESTEE,Other description
PUSHED WITH BOTH HANDS,Other description
PUSHED WITH HANDS,Other description
PUSHED WITH HEEL OF FOOT,Other description
PUSHED WITH NIGHT STICK,Other description
PUSHED WITH TWO HANDS,Other description
"PUSHED, PULLED, CLOSED DOOR",Other description
PUSHED/GRABBED ,Other description
PUSHED/HELD OFFENDER DOWN,Other description
PUSHED/HELD SUBJ. ON VEH. HOOD,Other description
PUSHED/LIFTED OFF INTO B SEAT,Other description
PUSHED/PINNED UP AGAINST CAR,Other description
PUSHED/PULLED INTO  VEHICLE,Other description
PUSHIED SUBJECT ASIDE,Other description
PUSHING,Other description
PUSHING DOWN TO THE GROUND,Other description
PUSHING SUBJECT AWAY ,Other description
PUSHING SUBJECT INTO VEHICLE,Other description
PUSUED FLEEING SUBJECT,Other description
PUSUED OFFENDER,Other description
PUT A FIRM HOLD ON RESISTER,Other description
PUT AGAINST WALL,Other description
PUT ARMS AROUND OFFENDER,Other description
PUT FOOT IN DOOR,Other description
PUT FOOT ON SHOULDER AREA,Other description
PUT HANDS AND ARMS UP,Other description
PUT HANDS BEHIND BACK,Other description
PUT HANDS UP TO DEFEND HIMSELF,Other description
PUT IN A BEAR HUG,Other description
PUT LEG IN CAR,Other description
PUT OFFENDER AGAINST WALL,Other description
PUT OFFENDER'S ARM BEHIND BACK,Other description
PUT SUBJECT IN CAR BY FORCE,Other description
PUT SUBJECT IN CELL,Other description
PUT WEIGHT ON SUBJECT'S LEGS,Other description
PUT YOUR HANDS BEHIND YOUR BAC,Other description
R/D SHOWED THAT HE WAS ARMED,Other description
R/O  GRABBED ARM RESPONSIVE TO,Other description
R/O ABLE TO CLOSE DOOR,Other description
R/O ADVISED STOP RESISTING,Other description
R/O ANNOUNCED HIS OFFICE,Other description
R/O ANNOUNCED OFFICE,Other description
R/O ASSISTED IN DRAGGING OUT ,Other description
R/O ATTEMPTED STOP BEATING,Other description
R/O ATTEMPTED TO RESTRAIN OFF.,Other description
R/O BACKED AWAY ,Other description
R/O CALLED 911 ,Verbal direction/control techniques
R/O CALLED ON RADIO,Verbal direction/control techniques
R/O DIALED 911,Verbal direction/control techniques
R/O DISCHARGED THREE ROUNDS,Firearm
R/O DREW DUTY WEAPON,Other description
R/O DREW WEAPON,Other description
R/O DREW WEAPON AND TOOK COVER,Other description
R/O DREW WEAPON ARMED OFF.,Other description
R/O FELL TO GROUND,Other description
R/O GAVE CHASE,Other description
R/O GAVE CHASE ON FOOT,Other description
R/O GAVE CHASE WHEN OFF. FLED,Other description
R/O GAVE PURSUIT,Other description
R/O GRABBED OFFENDERS LEGS,Other description
R/O GRABBED SUBJECTS COAT,Other description
R/O GRABBED SUBJECTS LEFT WRIS,Other description
R/O GRABBER OFFENDERS HAIR,Other description
R/O HAD TO DRAG OFFENDER ,Other description
R/O HELD OFFENDER TO THE GROUN,Other description
R/O HELD OFFENDER WITH FOREARM,Other description
R/O HELD OFFENDER'S BODY DOWN,Other description
R/O HELD ONTO CLOTHING ,Other description
R/O HELD SUBJECTS LEG DOWN,Other description
R/O MISSED OFFENDER WITH O/C ,OC/Chemical Weapon
R/O MOVED OFFENDER'S HEAD,Other description
R/O ORDERED OFF. TO DROP WEAPO,Verbal direction/control techniques
R/O PHYSICALLY MOVED SUBJECT ,Other description
R/O POINTED WEAPON ORDERED SUB,Verbal direction/control techniques
R/O PULLED ARRESTEE FROM FENCE,Other description
R/O PURSUED SUBJECT,Other description
R/O PURSUIED OFFENDER ON FOOT,Other description
R/O PUSHED AND TURNED OFFENDER,Other description
R/O PUSHED AWAY,Other description
R/O PUSHED BACK AT SUBJECT ,Other description
R/O PUSHED HIS HANDS OFF,Other description
R/O PUSHED OFFENDER'S LEG DOWN,Other description
R/O PUSHED OFFENDER'S SHOULDER,Other description
R/O PUSHED SUBJECT,Other description
R/O PUSHED THE OFFENDER BACK,Other description
R/O PUT WEIGHT ON SUBJECT,Other description
R/O RAN INTO OFFENDER. ,Other description
R/O RESTRAINED (R) LEG,Other description
R/O RETREATED,Other description
R/O S HELD SUBJECT DOWN,Other description
R/O SECURED OFFENDER'S LEGS,Other description
R/O SECURED RIGHT ARM,Other description
R/O SHOT ATTCKING DOG,Firearm
R/O SHOVED OFFENDER AWAY ,Other description
R/O TACKLED SUBJECT,Other description
R/O TACKLED SUBJECT TO COUCH,Other description
R/O TACKLED THIS BURGLAR,Other description
R/O THRUSTED HANDS FORWARD ,Other description
R/O TOOK CONTROL OF BOTH ARMS.,Other description
R/O TOOK SUBJECT TO THE GROUND,Other description
R/O TWISTED AWAY FROM SUBJECT,Other description
R/O USED NO FORCE ,Member presence
R/O WAS ABLE TO AVOID BEINGHIT,Other description
R/O WAS IN PREPARED DEFENSE,Other description
R/O WAS NOT PRESENT,Other description
R/O WAS ON THE PHONE TO OEMC ,Other description
R/O WAS STRUCK TWICE IN HEAD K,Other description
R/O'S BODYWEIGHT,Other description
R/O'S GAVE CHASE,Other description
R/O'S HELD HIM DOWN,Other description
R/O'S PUSHED DOOR OPEN,Other description
R/O'S REGAINED CONTROL,Other description
R/O'S RIGHT FINGER INJURED,Other description
R/O'S VEHICLE WAS STRUCK,Other description
R/O'S WERE RESTRAINING SUBJECT,Other description
R/S HELD ON TO SUBJECT,Other description
R/S PUSHED OFFENDER AWAY,Other description
R/S WAS IN FULL UNIFORM,Other description
R/SGT CALLED 10-1,Verbal direction/control techniques
R/SGT CALLED IN 10-1,Verbal direction/control techniques
R/SGT. ORDERED OFF. TO DROP WE,Verbal direction/control techniques
R/SGT. WAS IN FEAR OF LIFE,Other description
RADIO,Verbal direction/control techniques
RADIO TRANSMISSION,Verbal direction/control techniques
RADIOD FOR ASSISTANCE,Verbal direction/control techniques
RAISED ARM TO DEFEND,Other description
RAISED ARM TO RESTRAIN ,Other description
RAISED ARM TO RESTRAIN AND PUS,Other description
RAISED ARMS,Other description
RAISED ARMS IN DEFENSE,Other description
RAISED HANDS IN DEFENSE,Other description
RAISED HER ARMS,Other description
RAISED OFFENDER TO HIS FEET,Other description
RAMMING EQUIPMENT,Other description
RAN AFTER OFFENDER ON FOOT,Other description
RAN AFTER SUBJECT,Other description
RAN AND JUMPED OUT OF THE WAY,Other description
RAN AROUND SUBJECT,Other description
RAN INTO OFFENDER CAUSING FALL,Other description
RAN OUT OF PATH OF VEHICLE,Other description
RAN OUT OF THE WAY ,Other description
RAN TO AVOID ON COMING VEHICLE,Other description
RAN TO SUBJECT TO APPREHEND,Other description
RE-ESTABLISHED HOLD ,Other description
RE-POSITION OFF HEAD,Other description
REACHED FOR MACE,OC/Chemical weapon
REAR CONTROL HOLD ON ARM ,Other description
REAR FACING PULL,Other description
REAR HOLD,Other description
REARWARD COLLAR THROW,Other description
REARWARD TRIP,Other description
RECOVERED GARBAGE CAN ,Other description
REDIRECTED OFF'S ATTEMPT,Other description
REDIRECTED OFFENDER'S MOVEMENT,Other description
REDIRECTED SUBJECTS FACE,Other description
REESTABLISHED GRIP ON RESISTER,Other description
REFER TO ADD.INFORMATION,Other description
REFER TO PASSIVE RESISTER ,Other description
REFLECTED BLOWS WITH ARMS,Other description
REFUSED TO COMPLY,Other description
REFUSED TO GIVE INFO,Other description
REGAIN GRIP,Other description
REGAINED BALANCE,Other description
RELEASED GRASP,Other description
RELEASED HOLD ON OFFENDER,Other description
REMAINED ON SCENE W/OFF 2,Other description
REMOVED ARM AND EMERGENCY HAND,Other description
REMOVED BABY FROM ARRESTEE,Other description
REMOVED EXTREMITIES FROM HOLDS,Other description
REMOVED FOR P/O'S PROTECTION,Other description
REMOVED FOR P/OS SAFETY,Other description
REMOVED FROM VEHICLE,Other description
REMOVED HAND FROM RAILING,Other description
REMOVED HAND STEERING WHEEL,Other description
REMOVED HANDS FROM RAILING,Other description
REMOVED KEYS AS CAPT STRUCK,Other description
REMOVED KNIFE FROM ATTACKER,Other description
REMOVED METAL PIPE FROM ABOVE.,Other description
REMOVED OFF. FROM VEHICLE ,Other description
REMOVED OFFENDER FROM VEHICLE,Other description
REMOVED OFFENDER OFF FENCE,Other description
REMOVED OFFENDERS HAND,Other description
REMOVED PEPPER SPRAY FROM HAND,OC/Chemical weapon
REMOVED SUBJECT FRO VEHICLE,Other description
REMOVED SUBJECT FROM VEHICLE,Other description
REMOVED WEAPON FROM HOLSTER,Other description
REMOVING HIM FR STATION VEST  ,Other description
RENDERED AID,Other description
"RENDERED FIRST AID,DETAINED",Other description
REPEATED DIRECTION,Verbal direction/control techniques
REPEL SUBJECTS ATTEMPT TO FLEE,Other description
